Model,MSE,RMSE,MAE,R2
Linear Regression,1.4856556078033716,1.218874730152107,0.7387269468443466,0.9258406672720757
Ridge,1.4860388382086187,1.219031926656812,0.7388024823210078,0.9258215375955983
Lasso,3.60217265358048,1.8979390542323744,1.3757841965831048,0.8201906828492512
Random Forest,1.309816247992312,1.1444720389735663,0.6683961632206128,0.9346180242331376
Gradient Boosting,1.1848821329778727,1.088522913391295,0.6362862977848763,0.9408543488266438
